consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,98.296,103.7944,0,12,12,0,1,1,DEPTH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,103.7957,109.2942,0,13,13,25,1,26,AMPLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,109.2956,114.7944,0,14,14,30,1,31,DETER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,114.7955,120.2945,0,15,15,18,1,19,CULTURE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,120.2962,125.7944,0,16,16,17,1,18,RURAL,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,125.796,131.2947,0,17,17,12,1,13,CUTTING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,131.2982,136.7941,0,18,18,5,1,6,SPEECH,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,136.7952,142.2942,0,19,19,33,1,34,FICKLE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,142.2956,147.7941,0,20,20,47,1,48,PROBITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,147.7949,153.2942,0,21,21,43,1,44,ORNATE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
