consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,770.9337,771.8525,y,0.889099999,,0,23,23,1,1,denial,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,771.8536,774.4853,n,2.6027,,0,24,24,25,1,exprate,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,774.4872,776.4077,y,1.8917,,0,25,25,33,1,plaintively,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,776.4085,778.2938,y,1.855,,0,26,26,39,1,crumper,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,778.2944,779.7926,y,1.4685,,0,27,27,27,1,cleanliness,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,779.7935,780.9114,y,1.0884,,0,28,28,48,1,scholar,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,780.9122,781.7143,y,0.7735,,0,29,29,16,1,screech,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,781.7153,782.8629,y,1.1161,,0,30,30,14,1,breeding,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,782.864,784.054,y,1.16,,0,31,31,53,1,censorship,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,784.0548,785.1377,y,1.052,,0,32,32,55,1,rascal,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,785.1389,787.4368,n,2.2675,,0,33,33,51,1,destription,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,787.4377,789.1252,y,1.657,,0,34,34,22,1,allied,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,789.1263,790.2015,y,1.0467,,0,35,35,38,1,fray,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,790.2025,791.3854,y,1.154,,0,36,36,13,1,unkempt,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,791.3869,792.712,y,1.295,,0,37,37,2,1,generic,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,792.7129,793.5783,y,0.831900001,,0,38,38,11,1,flaw,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,793.5794,794.5378,y,0.9288,,0,39,39,52,1,cylinder,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,794.5389,796.1915,n,1.6239,,0,40,40,32,1,skave,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,796.1924,798.1933,y,1.971400001,,0,41,41,29,1,rebondicate,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,798.1944,799.6514,y,1.4272,,0,42,42,49,1,turtle,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,799.6523,800.9666,y,1.2837,,0,43,43,36,1,hasty,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,800.9679,802.4181,y,1.4206,,0,44,44,9,1,lofty,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,802.4194,804.5637,n,2.114,,0,45,45,34,1,kilp,N,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,804.5646,805.6894,y,1.0944,,0,46,46,28,1,dispatch,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,805.69,807.0654,y,1.3455,,0,47,47,47,1,carbohydrate,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,807.0664,808.4399,y,1.3437,,0,48,48,30,1,ingenious,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,808.4409,809.6018,y,1.1314,,0,49,49,46,1,turmoil,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,809.6029,810.7242,y,1.093599999,,0,50,50,19,1,shin,Y,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,810.725,812.3832,n,1.627099999,,0,51,51,60,1,pudour,N,,,,,,,,,,,,,,
