consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
"[""Item 1""]",057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,1,,32.2399,32.2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,32.2402,53.494,space,21.1173,0.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,53.62,58.9902,0,0,0,21,1,22,ENTER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,58.9953,64.49,0,1,1,14,1,15,EMPTY,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,64.4934,69.9906,0,2,2,37,1,38,COERCE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,69.9933,79.9801,0,3,3,2,1,3,ADDRESS,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,79.9823,79.9975,0,4,4,20,1,21,SHOCK,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,79.9998,86.4908,0,5,5,40,1,41,LIBEL,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,057644,001,2026-04-15_17h36.36.180,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,86.4942,91.9909,0,6,6,6,1,7,SLIGHT,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
