consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,language_background_q.block_1/Q60
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,130.6347,136.1321,0,13,13,24,1,25,AFFABLE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,136.1345,141.6325,0,14,14,42,1,43,OPULENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,141.6346,147.1323,0,15,15,39,1,40,MYOPIC,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,147.1346,152.6234,0,16,16,41,1,42,NUANCE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,152.6255,158.1317,0,17,17,30,1,31,DETER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,158.1345,163.6318,0,18,18,31,1,32,ENMITY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,163.6341,169.1316,0,19,19,18,1,19,CULTURE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,169.1337,174.6315,0,20,20,44,1,45,PATHOS,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,174.6348,180.1315,0,21,21,17,1,18,RURAL,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,248724,001,2026-04-10_16h07.29.219,DFv2,2026.1.1,Win32,58.82352941,,,,,,,,,,180.1342,185.6317,0,22,22,10,1,11,THREW,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
